id,mes,central,agente,descripcion,tecnologia_descripcion,tecnologia,factor_disp_tec_porcentaje,fecha_proceso,lote_id_log,indice_tiempo
121855,1,ABRO,CTBROWNG,C.T. ALMIRANTE BROWN,Motor Diesel,DI,1.0,2020-05-05 11:07:57.624983,67,2017-01-01
121856,1,ACAJ,CAPEXSAG,C.T. AGUA DEL CAJON,Ciclos Combinados,CC,0.7007816065356705,2020-05-05 11:07:57.624983,67,2017-01-01
121857,1,AESP,CTAESPAG,C.T. AES PARANA,Ciclos Combinados,CC,0.9769171906286268,2020-05-05 11:07:57.624983,67,2017-01-01
121858,1,ALEM,CTALEMAG,CT ALEM - AGGREKO,Motor Diesel,DI,1.0,2020-05-05 11:07:57.624983,67,2017-01-01
121859,1,ALUM,CTALUMSG,CT ALUMINÉ - SECCO,Motor Diesel,DI,1.0,2020-05-05 11:07:57.624983,67,2017-01-01
121860,1,ANAT,CTANA2SG,CT AÑATUYA II - SULLAIR,Motor Diesel,DI,0.9219152854511972,2020-05-05 11:07:57.624983,67,2017-01-01
121861,1,ANAT,CTANATSG,CT AÑATUYA - SULLAIR,Motor Diesel,DI,1.0,2020-05-05 11:07:57.624983,67,2017-01-01
121862,1,ARGE,SIDERCAC,SIDERCA SA(EX ARGENER-GEN.PAR),Turbina a gas,TG,1.0,2020-05-05 11:07:57.624983,67,2017-01-01
121863,1,ARIS,CTARIVSG,CT ARISTOBU.DEL VALLE-SOENERGY,Motor Diesel,DI,1.0,2020-05-05 11:07:57.624983,67,2017-01-01
121864,1,ARMA,CTLARM2G,CT LAS ARMAS II - EMGASUD,Turbina a gas,TG,1.0,2020-05-05 11:07:57.624983,67,2017-01-01
121865,1,ARMA,CTLARMAG,CT LAS ARMAS - EMGASUD,Turbina a gas,TG,1.0,2020-05-05 11:07:57.624983,67,2017-01-01
121866,1,ARRE,CTARREAG,CT ARRECIFES-AGGREKO,Motor Diesel,DI,1.0,2020-05-05 11:07:57.624983,67,2017-01-01
121867,1,AVAL,CTALVALG,C.TERMICA ALTO VALLE,Ciclos Combinados,CC,0.9174710682096954,2020-05-05 11:07:57.624983,67,2017-01-01
121868,1,AVAL,CTALVALG,C.TERMICA ALTO VALLE,Turbina a gas,TG,1.0,2020-05-05 11:07:57.624983,67,2017-01-01
121869,1,BARI,CTBARISG,CT BARILOCHE,Motor Diesel,DI,1.0,2020-05-05 11:07:57.624983,67,2017-01-01
121870,1,BBLA,CPBUENAG,CENTRAL PIEDRABUENA S.A.,Turbovapor,TV,0.4431674925000842,2020-05-05 11:07:57.624983,67,2017-01-01
121871,1,BLOP,CTBRILOG,CT BRIGADIER LOPEZ,Turbina a gas,TG,1.0,2020-05-05 11:07:57.624983,67,2017-01-01
121872,1,BRAG,CTBRAGAG,CT BRAGADO - EMGASUD,Turbina a gas,TG,1.0,2020-05-05 11:07:57.624983,67,2017-01-01
121873,1,BROW,TGBROWNG,TERMOELECTRICA GUILLERMO BROWN,Turbina a gas,TG,0.9543785072397688,2020-05-05 11:07:57.624983,67,2017-01-01
121874,1,BSAS,CCOSTANG,ENDESA COSTANERA SA,Ciclos Combinados,CC,0.7559534185226405,2020-05-05 11:07:57.624983,67,2017-01-01
121875,1,BVIL,CTBELLSG,CT BELL VILLE - SULLAIR,Motor Diesel,DI,1.0,2020-05-05 11:07:57.624983,67,2017-01-01
121876,1,CARL,EPECORDG,EPEC GENERACION,Motor Diesel,DI,0.9337068160597572,2020-05-05 11:07:57.624983,67,2017-01-01
